Title,Note,URL,Tags,Comment
,,,🥓 Brunch;🥨 Snack;🏠 🏠;🛍️ Shopping;☕️ Cafe;🏕️ Nature;🤡 Fun;🖼️ Museum;🕺 Club;🍽️ Restaurant,
Broad Nosh Bagels Deli & Catering 58th Street,,https://www.google.com/maps/place/Broad+Nosh+Bagels+Deli+%26+Catering+58th+Street/data=!4m2!3m1!1s0x89c25980ff435b6d:0x5fd66519f6029754,🥓 Brunch,
Beverly 1975,,https://www.google.com/maps/place/Beverly+1975/data=!4m2!3m1!1s0x89c25ba1dabaca19:0xb993607012b63fd,🛍️ Shopping,
Mixed Ingredients,,https://www.google.com/maps/place/Mixed+Ingredients/data=!4m2!3m1!1s0x89c259001de347e1:0xf6ac15ff9f43b2ca,☕️ Cafe,
Little Canal,,https://www.google.com/maps/place/Little+Canal/data=!4m2!3m1!1s0x89c25a29a1cde611:0x333f6116dcddfd71,☕️ Cafe,
Zaidi's NYC,,https://www.google.com/maps/place/Zaidi's+NYC/data=!4m2!3m1!1s0x89c25b6e8dc8faa7:0xf6f4274ca80b9591,🛍️ Shopping,
Dimes Deli,,https://www.google.com/maps/place/Dimes+Deli/data=!4m2!3m1!1s0x89c25a29a7184315:0x1f7ee36a6a311caa,🍽️ Restaurant,
Dimes Market,,https://www.google.com/maps/place/Dimes+Market/data=!4m2!3m1!1s0x89c25a29a7184315:0xc5cb85c0ebb09eba,🥨 Snack,
Elbow Bread,,https://www.google.com/maps/place/Elbow+Bread/data=!4m2!3m1!1s0x89c25b0073d873d7:0xbb52878185864442,🥨 Snack,
Wayla,,https://www.google.com/maps/place/Wayla/data=!4m2!3m1!1s0x89c259bfd44fe7c7:0x6e4c208738839550,🍽️ Restaurant,
Habana Outpost - Brooklyn,,https://www.google.com/maps/place/Habana+Outpost+-+Brooklyn/data=!4m2!3m1!1s0x89c25bb1b3282c03:0xd46b92a646670a98,🍽️ Restaurant,
Healthy Market,,https://www.google.com/maps/place/Healthy+Market/data=!4m2!3m1!1s0x89c258521c9339c7:0xd3c233736d63d02c,,
People’s,,https://www.google.com/maps/place/People%E2%80%99s/data=!4m2!3m1!1s0x89c259006a76d7d1:0x607a6be7c0687708,,
The Gin Mill,,https://www.google.com/maps/place/The+Gin+Mill/data=!4m2!3m1!1s0x89c2588608da2747:0x446b5f8db0155877,,
Strand Book Store,,https://www.google.com/maps/place/Strand+Book+Store/data=!4m2!3m1!1s0x89c259991086229d:0x5ecdcafc0a628a40,,
Maru Coffee,,https://www.google.com/maps/place/Maru+Coffee/data=!4m2!3m1!1s0x89c25900300d21cd:0xb328a0264a38784c,☕️ Cafe,
North 5th Street Pier and Park,,https://www.google.com/maps/place/North+5th+Street+Pier+and+Park/data=!4m2!3m1!1s0x89c2596427df7457:0x616e783fd9917532,,
The Wayland,,https://www.google.com/maps/place/The+Wayland/data=!4m2!3m1!1s0x89c259775a94e465:0x739c78805b5b0cc3,,
Papa d’Amour,,https://www.google.com/maps/place/Papa+d%E2%80%99Amour/data=!4m2!3m1!1s0x89c2590071c171f5:0xd16b52ae55bbd090,🥨 Snack,
Brooklyn Warehouse Project,,https://www.google.com/maps/place/Brooklyn+Warehouse+Project/data=!4m2!3m1!1s0x89c25f88f2323a8f:0xa71f821d6f68dda,🕺 Club,
Elsewhere,,https://www.google.com/maps/place/Elsewhere/data=!4m2!3m1!1s0x89c25f48090450ad:0xb4eb4d47330581b2,🕺 Club,
